stat,bounds,min,max,mean,median,std,var,sum,path,tile,z
polygon_count,"[-146.51367187500014, -146.49169921875014, 69.98291015625009, 70.00488281250009]",0.0,1.0,0.0236663818359375,0.0,0.15200751365223072,0.023106284206733108,1551.0,geotiff/WorldCRS84Quad/13/1524/910.tif,"Tile(x=1524, y=910, z=13)",13
coverage,"[-146.51367187500014, -146.49169921875014, 69.98291015625009, 70.00488281250009]",0.0,2.997732696587537,0.11475895056973451,0.0,0.27156638486029594,0.07374830138609037,7520.842584538121,geotiff/WorldCRS84Quad/13/1524/910.tif,"Tile(x=1524, y=910, z=13)",13
polygon_count,"[-146.51367187500014, -146.49169921875014, 69.96093750000009, 69.98291015625009]",0.0,1.0,0.02197265625,0.0,0.14659419711338964,0.021489858627319336,1440.0,geotiff/WorldCRS84Quad/13/1524/911.tif,"Tile(x=1524, y=911, z=13)",13
coverage,"[-146.51367187500014, -146.49169921875014, 69.96093750000009, 69.98291015625009]",0.0,2.0,0.09684113765434521,0.0,0.2524750064436616,0.06374362887872696,6346.580797315168,geotiff/WorldCRS84Quad/13/1524/911.tif,"Tile(x=1524, y=911, z=13)",13
polygon_count,"[-146.49169921875014, -146.46972656250014, 69.98291015625009, 70.00488281250009]",0.0,1.0,0.025848388671875,0.0,0.15868285816351646,0.025180249474942684,1694.0,geotiff/WorldCRS84Quad/13/1525/910.tif,"Tile(x=1525, y=910, z=13)",13
coverage,"[-146.49169921875014, -146.46972656250014, 69.98291015625009, 70.00488281250009]",0.0,2.0,0.1453033274348072,0.0,0.30326681640624814,0.09197076193318103,9522.598866767525,geotiff/WorldCRS84Quad/13/1525/910.tif,"Tile(x=1525, y=910, z=13)",13
polygon_count,"[-146.49169921875014, -146.46972656250014, 69.96093750000009, 69.98291015625009]",0.0,1.0,0.02313232421875,0.0,0.15032371667500985,0.022597219794988632,1516.0,geotiff/WorldCRS84Quad/13/1525/911.tif,"Tile(x=1525, y=911, z=13)",13
coverage,"[-146.49169921875014, -146.46972656250014, 69.96093750000009, 69.98291015625009]",0.0,2.0,0.13544988000520117,0.0,0.29708896055305584,0.08826185048249517,8876.843336020864,geotiff/WorldCRS84Quad/13/1525/911.tif,"Tile(x=1525, y=911, z=13)",13
polygon_count,"[-146.51367187500006, -146.46972656250006, 69.96093750000003, 70.00488281250003]",0.0,2.0,0.09461975097642211,0.0,0.2992366721623226,0.08954258596678133,6200.9999999908,geotiff/WorldCRS84Quad/12/762/455.tif,"Tile(x=762, y=455, z=12)",12
coverage,"[-146.51367187500006, -146.46972656250006, 69.96093750000003, 70.00488281250003]",0.0,1.9307016897851528,0.12308832391622923,0.0,0.24572795723092106,0.060382228964881365,8066.716396173999,geotiff/WorldCRS84Quad/12/762/455.tif,"Tile(x=762, y=455, z=12)",12
polygon_count,"[-146.51367187500006, -146.42578125000006, 69.96093750000003, 70.04882812500003]",0.0,4.999999997238149,0.09461975097641702,0.0,0.34882315836745886,0.1216775958134493,6200.999999990466,geotiff/WorldCRS84Quad/11/381/227.tif,"Tile(x=381, y=227, z=11)",11
coverage,"[-146.51367187500006, -146.42578125000006, 69.96093750000003, 70.04882812500003]",0.0,1.370959384852794,0.030772080979056204,0.0,0.11250412271870693,0.012657177628705867,2016.6790990434274,geotiff/WorldCRS84Quad/11/381/227.tif,"Tile(x=381, y=227, z=11)",11
polygon_count,"[-146.60156250000006, -146.42578125000006, 69.96093750000003, 70.13671875000003]",0.0,10.999999998264485,0.09461975097641702,0.0,0.5146514086383822,0.26486607241347104,6200.999999990466,geotiff/WorldCRS84Quad/10/190/113.tif,"Tile(x=190, y=113, z=10)",10
